question,gremlin_query
哪些由 James Earl Jones 出演的电影时长超过了 150 分钟，并列出它们的片名和时长？,"g.V().has('Person', 'name', 'James Earl Jones').out('ACTED_IN').has('duration', gt(150)).valueMap('title', 'duration')"
请找出 James Earl Jones 参演的所有影片中，播放时间大于 150 分钟的电影名称和对应时长。,"g.V().has('Person', 'name', 'James Earl Jones').out('ACTED_IN').has('duration', gt(150)).valueMap('title', 'duration')"
查询 James Earl Jones 主演的电影中，哪些片长超过两个半小时，显示这些影片的标题和具体时长。,"g.V().has('Person', 'name', 'James Earl Jones').out('ACTED_IN').has('duration', gt(150)).valueMap('title', 'duration')"
哪些电影或节目是由演员 Lee J. Cobb 出演的？,"g.V().has('Person', 'name', 'Lee J. Cobb').out('ACTED_IN').elementMap()"
Lee J. Cobb 参演过哪些作品？,"g.V().has('Person', 'name', 'Lee J. Cobb').out('ACTED_IN').elementMap()"
查询 Lee J. Cobb 作为演员参与的所有影视项目。,"g.V().has('Person', 'name', 'Lee J. Cobb').out('ACTED_IN').elementMap()"
有多少部电影是由 Benicio del Toro 执导的？,"g.V().has('Person', 'name', 'Benicio del Toro').out('DIRECTED').count()"
Benicio del Toro 作为导演参与了多少个项目？,"g.V().has('Person', 'name', 'Benicio del Toro').out('DIRECTED').count()"
统计 Benicio del Toro 执导的作品数量。,"g.V().has('Person', 'name', 'Benicio del Toro').out('DIRECTED').count()"
詹姆斯·重田出演了多少部电影？,"g.V().has('Person', 'name', 'James Shigeta').out('ACTED_IN').count()"
统计名为'James Shigeta'的演员参与演出的作品总数。,"g.V().has('Person', 'name', 'James Shigeta').out('ACTED_IN').count()"
查询'James Shigeta'这个人的表演作品数量有多少？,"g.V().has('Person', 'name', 'James Shigeta').out('ACTED_IN').count()"
哪些电影是由 Lawrence Kasdan 执导的？,"g.V().has('Person', 'name', 'Lawrence Kasdan').out('DIRECTED').elementMap()"
列出 Lawrence Kasdan 作为导演参与的所有作品。,"g.V().has('Person', 'name', 'Lawrence Kasdan').out('DIRECTED').elementMap()"
查询 Lawrence Kasdan 导演过的所有影视作品。,"g.V().has('Person', 'name', 'Lawrence Kasdan').out('DIRECTED').elementMap()"
